Room ID;Name;Host ID;Neighbourhood;Room type;Room Price;Minimum nights;Number of reviews;Date last review;Number of reviews per month;Rooms rent by the host;Availibility;Updated Date;City;Country;Coordinates;Location
23892280;Lovely studio appartment near Montmartre;38831815;Buttes-Montmartre;Entire home/apt;44;2;11;2019-06-01;0.42;1;0;2020-06-11;Paris;France;48.89151990530848, 2.327462321554697;France, Paris, Buttes-Montmartre
23935572;Hôtel du Lys / Chambre double supérieure avec salle de bain privée / Double room superior with private bathroom;175429374;Luxembourg;Private room;160;1;1;2018-05-22;0.04;5;310;2020-06-11;Paris;France;48.852538122815055, 2.3427778781734547;France, Paris, Luxembourg
24039213;Charming and bright flat in Belleville trendy area;22085399;Ménilmontant;Entire home/apt;50;2;20;2020-03-16;0.78;1;0;2020-06-11;Paris;France;48.873252868919764, 2.395167979985324;France, Paris, Ménilmontant
26025623;Your Parisian home - Free breakfast;133878544;Opéra;Hotel room;1000;1;38;2019-11-17;1.58;4;275;2020-06-11;Paris;France;48.87592896656528, 2.3345186783678176;France, Paris, Opéra
26702711;Studio de charme au coeur du Marais avec vue;124531089;Temple;Entire home/apt;75;5;16;2019-08-28;0.71;1;0;2020-06-11;Paris;France;48.85992040404872, 2.3583435419939427;France, Paris, Temple
27007707;REFURBISHED WORKSHOP  IN BASTILLE;2709936;Popincourt;Entire home/apt;120;2;5;2019-06-02;0.22;1;164;2020-06-11;Paris;France;48.85219208179093, 2.3783217390357327;France, Paris, Popincourt
27566270;Appartement Montparnasse;15673792;Observatoire;Entire home/apt;66;4;0;;;1;0;2020-06-11;Paris;France;48.839196800613585, 2.318931056857352;France, Paris, Observatoire
13618173;Nice & equiped 2 room apartment in a quiet area.;18749259;Reuilly;Entire home/apt;50;1;3;2017-03-12;0.07;1;0;2020-06-11;Paris;France;48.84490313933525, 2.385994773419855;France, Paris, Reuilly
13823477;F3 calme et confortable au cœur du 19ème ardt;12377200;Buttes-Chaumont;Entire home/apt;100;2;4;2017-07-05;0.08;1;0;2020-06-11;Paris;France;48.887933622047925, 2.3831730001577327;France, Paris, Buttes-Chaumont
15938216;Bedroom with private bathroom;7144941;Louvre;Private room;70;4;148;2020-03-15;3.44;3;76;2020-06-11;Paris;France;48.86093874991198, 2.3494570963038712;France, Paris, Louvre
17415022;Jolie chambre au calme et lumineuse;117771170;Vaugirard;Private room;51;1;0;;;1;0;2020-06-11;Paris;France;48.838191891719354, 2.282160825324901;France, Paris, Vaugirard
17521600;Cozy flat close to Bastille;32078364;Popincourt;Entire home/apt;70;2;12;2019-09-16;0.32;1;0;2020-06-11;Paris;France;48.85391825690229, 2.3794428025914907;France, Paris, Popincourt
